cdt_yuleq_item_metrics_77.item_nbr,cdt_yuleq_item_metrics_77.penetration,cdt_yuleq_item_metrics_77.hh_count,cdt_yuleq_item_metrics_77.store_count,cdt_yuleq_item_metrics_77.upsw,cdt_yuleq_item_metrics_77.acv,cdt_yuleq_item_metrics_77.sales,cdt_yuleq_item_metrics_77.units,cdt_yuleq_item_metrics_77.row_flag,cdt_yuleq_item_metrics_77.col_flag
1435310003,1.89986E-07,3,1,2.75,3.88044E-06,13.53,11,1,1
1435310004,2.53315E-07,4,1,11,1.16413E-05,40.59,33,1,1
1435310201,1.26657E-07,2,1,2.25,3.69115E-06,12.87,9,1,1
1435310231,1.26657E-07,2,1,1.666666667,1.8212E-06,6.35,5,1,1
1435310233,1.89986E-07,3,1,4,4.37087E-06,15.24,12,1,1
1570010000,1.39323E-06,22,2,3.88,1.53726E-05,53.6,97,1,1
1570010001,1.39323E-06,22,2,3.761904762,1.16212E-05,40.52,79,1,1
1570010002,1.83653E-06,29,3,4.961538462,1.86737E-05,65.11,129,1,1
1570010004,1.83653E-06,29,2,6.363636364,2.21813E-05,77.34,140,1,1
1570010005,1.39323E-06,22,2,5.380952381,1.7908E-05,62.44,113,1,1
1707710908,6.33287E-08,1,3,3,1.84127E-06,6.42,9,1,1
2018805012,1.58322E-06,25,4,2.485714286,9.13237E-05,318.42,87,1,1
2018805018,6.96616E-07,11,3,1.714285714,3.77891E-05,131.76,36,1,1
2529300276,0.000197586,3120,499,5.213756614,0.003611009,12590.57,9854,1,1
2529300278,0.000191443,3023,512,5.873490814,0.004099743,14294.65,11189,1,1
2529300279,0.000179854,2840,512,5.087184874,0.003551164,12381.91,9686,1,1
2529300280,0.000150532,2377,506,4.753921038,0.003222007,11234.23,8790,1,1
2529300281,0.000171558,2709,489,4.612885463,0.003072106,10711.57,8377,1,1
2663820013,1.3299E-06,21,4,2.216216216,0.000117589,410,82,1,1
2756803304,6.33287E-08,1,1,4,1.00955E-06,3.52,4,1,1
3000000115,0.00078382,12377,2323,4.57233138,0.011392462,39722.31,39793,1,1
3000000116,0.000798512,12609,2266,3.888424821,0.009336684,32554.39,32585,1,1
3000000118,0.000907184,14325,2250,4.86724468,0.012371667,43136.52,43226,1,1
3000000135,0.000830176,13109,1304,7.713478916,0.010372976,36167.65,40974,1,1
3000000138,6.33287E-08,1,1,2,6.19494E-07,2.16,2,1,1
3000000143,0.000994768,15708,1329,7.999450549,0.011062163,38570.65,43677,1,1
3000000144,0.000938912,14826,1298,8.338887849,0.011278177,39323.83,44538,1,1
3000000191,1.89986E-07,3,2,2,1.23899E-06,4.32,4,1,1
3000000192,6.33287E-08,1,1,1,3.09747E-07,1.08,1,1,1
3000000224,0.002179142,34410,1780,6.743292887,0.032807748,114391.38,121150,1,1
3000000227,0.002496609,39423,2184,9.00026137,0.046973465,163783.25,172175,1,1
3000000228,0.00091453,14441,1265,6.239582138,0.016164973,56362.71,54353,1,1
3000000229,0.001391776,21977,1470,6.576387681,0.022276647,77672.4,75589,1,1
3000000240,0.002398196,37869,1803,6.885046059,0.033783916,117795.01,124819,1,1
3000000910,0.002050204,32374,1812,8.724294142,0.045615275,159047.63,165622,1,1
3000000915,0.002608764,41194,1729,10.14365764,0.050062185,174552.75,184645,1,1
3000000916,0.006216538,98163,3571,15.05464566,0.158282671,551887.13,581847,1,1
3000000919,0.003073217,48528,2418,11.01592555,0.062004987,216193.93,229649,1,1
3000000920,0.004795948,75731,3286,11.44527308,0.09730261,339266.81,360652,1,1
3000001010,0.003100195,48954,3120,9.155266801,0.059294196,206742.17,290991,1,1
3000001011,0.002004734,31656,2461,9.055350726,0.038902557,135642.26,194029,1,1
3000001012,0.000881093,13913,1602,6.863796045,0.01491647,52009.53,68384,1,1
3000001015,6.33287E-08,1,2,1,5.04773E-07,1.76,2,1,1
3000001016,6.33287E-08,1,1,1,2.52386E-07,0.88,1,1,1
3000031880,6.33287E-08,1,2,5.333333333,3.98082E-06,13.88,16,1,1
3000031950,6.33287E-08,1,2,1,1.85274E-06,6.46,2,1,1
3000032082,6.33287E-08,1,1,1,9.98073E-07,3.48,1,1,1
3000032167,0.001644521,25968,2299,6.184216311,0.021951883,76540.04,112528,1,1
3090001049,0.000682177,10772,1324,2.819669247,0.036519827,127334.36,32054,1,1
3090001050,7.18148E-05,1134,918,1.899758454,0.00358513,12500.34,3146,1,1
